Question_ID,Page,Question_Preview,Options,Correct_Answer
p8_q1,8,The equivalent rank of Carnivora in taxonomic categories of man and housefly is ,"1, 2, 3, 4",
p8_q2,8,A group of related genera in taxonomic hierarchy has/is,"1, 2, 3, 4",
p8_q3,8,Taxa like sweet potato and mango are placed in taxonomic hierarchy in the,"1, 2, 3, 4",
p8_q4,8,Select correct statement for genus.,"1, 2, 3, 4",
p8_q5,8,Fill in the blanks by choosing the correct option,"A, B, C, D",
p8_q6,8,Which of the following statements about classification is not true? phylogeny st,"2, 3, 4",
p9_q1,9,Modern taxonomic studies do not deal with,"A, B, C, D, 1, 2, 3, 4",
p9_q2,9,90. Consider the following taxa and select how many of them do not belong to the,,
p9_q3,9,"Chilli, Lion, Dicots, Animals, Mango, Sweet potato, Polymoniales, Cat","1, 2, 3, 4",
p9_q4,9,Place of keeping and studying dry plants is,"1, 2, 3, 4",
p9_q5,9,An important function of botanical garden is,"1, 2, 3, 4",
p9_q6,9,National Botanical Institute is located in,"1, 2, 3, 4",
p9_q7,9,The Indian Botanical garden is located at,"1, 2, 3, 4",
p9_q8,9,Which taxonomic aid gives comprehensive account of complete compiled information,"1, 2, 3, 4",
p9_q9,9,Place of keeping and studying live plant species is,"1, 2, 3",
p9_q10,9,Lloyd Botanical Institute is located in,"1, 2, 3, 4",
p9_q11,9,The Royal Botanical garden is located at,"1, 2, 3, 4",
p9_q12,9,Which one of the following is a taxonomical aid for identification of plants and,"1, 2, 3, 4",
p9_q13,9,The largest collection of herbarium in India is,"1, 2, 3, 4",
p10_q1,10,Key is,"1, 2, 3, 4",
p10_q2,10,"In zoological parks, animals are","1, 2, 3, 4",
p10_q3,10,For identifying organisms through key usually,"1, 2, 3, 4",
p10_q4,10,The largest Zoological Park in the world is located at,"1, 2, 3, 4",
p10_q5,10,Dead specimens of plants and animals are found in,"1, 2, 3, 4",
p10_q6,10,Which one of the following is not a correct statement?,"1, 2, 3, 4",
p10_q7,10,Which one of the following is not a correct statement?,"1, 2, 3, 4",
p10_q8,10,Herbarium sheets are arranged according to the system of classification and shou,"1, 2, 3, 4",
p10_q9,10,Match Column-I with Column-II and choose the correct option. \begin{tabular}{|l|,"D, 1, 2, 3, 4",
p11_q1,11,Among the given taxonomic aids how many are associated with preservation of spec,"1, 2, 3, 4",
p11_q2,11,Live specimens of plants and animals are found respectively in,"1, 2, 3, 4",
p11_q3,11,Ex-situ conservation strategies of live specimens where each specimen is labelle,"1, 2, 3, 4",
p11_q4,11,Which of the following statement(s) about taxonomical aids is/are true?,"A, B, C, D, 1, 2, 3, 4",
p11_q5,11,The taxonomical aid used for identification of plants and animals based on the s,"1, 2, 3, 4",
p11_q6,11,Select correct statement w.r.t. taxonomical aid which is generally analytical in,"1, 2, 3, 4",
p12_q1,12,Match Column-I with Column-II and choose the correct option. Column-I Column-II,"A, I, B, C, D, 1, 2, 3, 4",
p12_q2,12,Consider the following statements: (e) The growth exhibited by non-living object,"A, B, C, D, 1, 2, 3, 4",
p12_q3,12,Non-living objects,"1, 2, 3, 4",
p12_q4,12,Which of the following match is incorrect?,"1, 2, 3, 4",
p12_q5,12,Fill in the blanks and select the option with all correct answers.,"A, B, C, D, 1, 2, 3, 4",
p12_q6,12,Which of the following possess the ability to reproduce?,"1, 2, 3, 4",
p12_q7,12,"An isolated metabolic reactions) outside the body of an organism, performed in a","1, 2, 3, 4",
p13_q1,13,Cell division occurs in plants and in animals.,"1, 2, 3, 4",
p13_q2,13,Match the entities in Column-I with their mode of reproduction in Column-II. Col,"A, I, B, C, D, V, 2, 3, 4",
p13_q3,13,Organisms that can respond to stimuli are,"1, 2, 3, 4",
p13_q4,13,"From the following statements, select those that are true for reproduction. (e) ","A, B, C, D, 2, 3, 4",
p13_q5,13,13. Reproduction is synonymous with growth/cell division in,"A, B, C, D",
p14_q1,14,Which of the following does not easily multiply by fragmentation?,"1, 2, 3, 4",
p14_q2,14,can indicate categories at very different levels.,"1, 2, 3, 4",
p14_q3,14,Consider the following characteristics:,"A, B, C, D",
p14_q4,14,Which two points are known as the twin characteristics of growth?,"1, 2, 3, 4",
p14_q5,14,18. Which set of organisms multiply by fragmentation?,"1, 2, 3, 4",
p14_q6,14,Metabolic reactions take place in,"1, 2, 3, 4",
p14_q7,14,Which of the features given below are general characteristics of life?,"A, B, C, D, 1, 2, 3, 4",
p14_q8,14,Choose the incorrect statements from the following: (e) Metabolism in a test tub,"A, B, C, D, 1, 2, 3, 4",
p14_q9,14,Properties of tissues are,"1, 2, 3, 4",
p14_q10,14,Select the correct statement.,"1, 2, 3",
p15_q1,15,Mark the incorrect statement with respect to metabolism.,"1, 2, 3, 4",
p15_q2,15,Select the correct statement for growth as one of the characteristic of living o,"1, 2, 3, 4",
p15_q3,15,Reproduction is synonymous with growth In,"1, 2, 3, 4",
p15_q4,15,Find out the Incorrect statement with respect to repro. duction.,"1, 2, 3, 4",
p15_q5,15,Select the incorrect statement for consciousness as one of the characteristic of,"1, 2, 3, 4",
p15_q6,15,All living organisms have following defining features:,"1, 2, 3, 4",
p15_q7,15,Which of the following sets of organisms can reproduce to produce fertile offspr,"1, 2, 3, 4",
p15_q8,15,"All living organisms - present, past and future, are linked to one another by th","1, 2, 3, 4",
p15_q9,15,Mayer's biological concept of species is mainly based on,"1, 2, 3, 4",
p16_q1,16,Which of the following statements is correct?,"1, 2, 3, 4",
p16_q2,16,Select the wrong statement.,"1, 2, 3, 4",
p16_q3,16,"In nomenclature,","1, 2, 3, 4",
p16_q4,16,The disadvantage of using common names for species is that,"1, 2, 3, 4",
p16_q5,16,"In referring to an organism in writing, such as in a newspaper, textbook or lab ","A, B, C, D, 1, 2, 3, 4",
p16_q6,16,"In trinomial nomenclature,","1, 2, 3, 4",
p16_q7,16,The third name in trinomial nomenclature in animals represents,"1, 2, 3, 4",
p16_q8,16,"When the specific epithet exactly repeats generic name, it is called","1, 2, 3, 4",
p17_q1,17,Scientific names of plants are based on principles and criteria agreed by and ar,"1, 2, 3, 4",
p17_q2,17,"Identify the generic name from the given scientific names. Panthera leo, Canis f","1, 2, 3, 4",
p17_q3,17,Which of the following is incorrect with respect to binomial nomenclature?,"1, 2, 3, 4",
p17_q4,17,"According to binomial nomenclature, every living organism has","1, 2, 3, 4",
p17_q5,17,Which one of the following statements given below is not included in universal r,"1, 2, 3, 4",
p17_q6,17,Fill in the blanks by choosing the correct option,"A, B, C, D",
p18_q1,18,A taxon is a,"1, 2, 3, 4",
p18_q2,18,Which of the following statements about classification is not true? (e) The numb,"A, B, C, D, 1, 2, 3, 4",
p18_q3,18,Identify the correct sequence of taxonomic categories.,"1, 2, 3, 4",
p18_q4,18,Two species which are morphologically almost identical but they do not interbree,"1, 2, 3, 4",
p18_q5,18,Biosystematics aims at,"1, 2, 3, 4",
p18_q6,18,The practical purpose of classification of living organisms is to,"1, 2, 3",
p18_q7,18,"When organism is in same division but is not in same order, the taxonomic term i","I, 2, 3, 4",
p18_q8,18,Which of the following taxa covers a least number of organisms?,"I, 2, 3, 4",
p18_q9,18,Linnacan system of classification was based on,"I, 2, 3, 4",
p18_q10,18,Sclentific study of diversity of organisms and their evolutionary relationships ,"I, 2, 3, 4",
p18_q11,18,Which of the following are not the processes that are basic to taxonomy?,"1, 2, 3, 4",
p18_q12,18,Which one of the following has least similar characteristics?,"1, 2, 3, 4",
p19_q1,19,Fill in the blanks using the correct option.,"1, 2, 3, 4",
p19_q2,19,Who wrote Species Plantarium and provided a basis for classification of plants?,"1, 2, 3, 4",
p19_q3,19,Arrangement of taxa is termed as,"1, 3, 2, 4",
p19_q4,19,Each unit of a category of classification is termed as,"1, 2, 3, 4",
p19_q5,19,The correct sequence of taxa is:,"1, 2, 3, 4",
p19_q6,19,The basic unit of taxonomy/biological classification is,"1, 2, 3, 4",
p19_q7,19,"When organism is in the same class but is not in the same family, the taxonomic ","1, 2, 3, 4",
p19_q8,19,Which of the following taxa covers a greater number of organisms?,"1, 2, 3, 4",
p19_q9,19,"Animals are classified into hierarchical groups. In which one of the following, ","1, 2, 3, 4",
p19_q10,19,Class is the category of taxonomy which includes related,"1, 2, 3, 4",
p19_q11,19,"In taxonomic hierarchy, which of the following group of taxa will have less numb","1, 2, 3, 4",
p19_q12,19,Match Column-I with Column-II and select the correct option. Column-I Column-II ,"A, I, 3, 4",
p20_q1,20,Kingdom → Phylum → (a) → Order → (b),"1, 2, 3, 4",
p20_q2,20,Taxonomy deals with,"1, 2, 3, 4",
p20_q3,20,The correct sequence of taxonomic study of a newly discovered organism is,"1, 2, 3, 4",
p20_q4,20,The equivalent rank of Carnivora in taxonomic categories of man and housefly is ,"1, 2, 3, 4",
p20_q5,20,Which of the following suffix is used for category order?,"1, 2, 3, 4",
p20_q6,20,Place of keeping and studying dry plants is,"1, 2, 3",
p20_q7,20,An important function of botanical garden is,"1, 2, 3, 4",
p20_q8,20,Which one of the following is not a correct statement?,"1, 2, 3, 4",
p20_q9,20,National Botanical Institute is located in,"I, 2, 3, 4",
p20_q10,20,The Indian Botanical garden is located at,"1, 2, 3, 4",
p20_q11,20,Which tazonomic aid gives comprehensive account of complete compiled information,"1, 2, 3, 4, 1, 2, 3, 4",
p21_q1,21,The Royal Botanical garden is located at,"1, 2, 3, 4",
p21_q2,21,Which one of the following is a taxonomical aid for identification of plants and,"1, 2, 3, 4",
p21_q3,21,Which of the following statement(s) about taxonomical aids is/are true?,"A, B, C, D, 2, 3, 4",
p21_q4,21,Herbarium sheets are arranged according to the system of classification and shou,"1, 2, 3, 4",
p21_q5,21,The largest collection of herbarium in India is,"1, 2, 3",
p21_q6,21,National Botanical Research Institute consists of,"1, 2, 3, 4",
p21_q7,21,"In museums, animals are","1, 2, 3, 4",
p21_q8,21,Match Column-I with Column-II and choose the correct option. Column-I Column-II,"A, I, B, C, 1, 2, 3, 4",
p22_q1,22,Among the given taxonomic aids how many are associated with preservation of spec,"1, 2, 3, 4",
p22_q2,22,Live specimens of plants and animals are found respectively in,"1, 2, 3, 4",
p22_q3,22,Key is,"1, 2, 3, 4",
p22_q4,22,"In zoological parks, animals are","1, 2, 3, 4",
p22_q5,22,For identifying organisms through key usually,"1, 2, 3, 4",
p22_q6,22,The largest Zoological Park in the world is located at,"1, 2, 3, 4",
p22_q7,22,Dead specimens of plants and animals are found in,"1, 2, 3, 4",
p22_q8,22,Which of the following is not included under in situ conservation?,"1, 2, 3, 4",
p22_q9,22,Match Column-I with Column-II and choose the correct option. Column-I Column-II,"A, I, B, C, A, B, C, D",
p23_q1,23,Aquaculture does not include [BHU 2003],"A, B, C, D",
p23_q2,23,Edaphology is [KCET 2007],"A, B, C, D",
p23_q3,23,"Animals that rely on the heat from the environment, rather than of metabolism, t","A, B, C, D",
p23_q4,23,Study of ecology of population is called [MP PMT 2007],"A, B, C, D",
p23_q5,23,"Branch of Zoology dealing with the study of fishes is known as [KCET 1994, 99; B","A, B, C, D",
p23_q6,23,"Science that deals with the study of external form, size, colour, structure and ","A, B, C, D",
p23_q7,23,"In which type of isolation, two species living in different habitats are prevent","A, B, C, D",
p23_q8,23,The study of action of drug is known as [MP PMT 2001],"A, B, C, D",
p23_q9,23,Study of periodical changes in plants in relation to seasonal changes [DPMT 2006,"A, B, C, D",
p23_q10,23,Bloinformatics is an interdisciplinary branch which is concerned with the applic,"A, B, C, D",
p23_q11,23,"In medical science, the study of structure as well as various disorders of nervo","A, B, C, D",
p23_q12,23,"The term ""blology"" was introduced by [MP PMT 1995]","A, B, C, D",
p23_q13,23,The scientist who cut the tail of mouse in many generations but found that it is,"A, B, C, D",
p23_q14,23,Who is called 'Father of Zoology' [MP PMT 1999] the field of [AMU (Med.) 2012],"A, B, C, D",
p24_q1,24,Study of behaviour of animals is called [RPMT 1996; BHU 2004],"A, B, C, D",
p24_q2,24,William Harvey is known for the discovery of [HPMT 1993; Manipal 1996; AMU (Med.,"A, B, C, D",
p24_q3,24,The statement 'Nothing in biology makes sense except in the light of evolution' ,"A, B, C, D",
p24_q4,24,Study of fruit is known as [Odisha JEE 2010],"A, B, C, D",
p24_q5,24,"In history of biology, human genome project led to the development of [NCERT; CB","A, B, C, D",
p24_q6,24,Hybridoma technology was developed by IMP PMT 20011,"A, B, C, D",
p24_q7,24,"Crick, one of the discoverer of DNA double hellcal atructure, was the man of [NC","A, B, C, D",
p24_q8,24,First experiment related to the method of hydroponics were done by (Keraln PMT 2,"A, B, C, D",
p24_q9,24,Which branch study about remains of plant life [Odlsha JEE 1997; RPMT 2002; AFMC,"A, B, C, D",
p24_q10,24,Name the sclentlst who was awarded the Nobel Prize for his genetic studies on th,"A, B, C",
p24_q11,24,Who wrote the book 'Genetics and Origin of Specles' [MP PMT 1999; Pb. PMT 1999],"A, B, C",
p24_q12,24,Study of Ticks and Mites is called (MP PMT 2002; Odisha JEE 2005),"A, B, C, D",
p24_q13,24,Which one of the following aspects is an exclusive characteristlc of llving thin,"A, B, C, D",
p24_q14,24,Study the four statements (𝐴−𝐷) glven below and select the two correct ones out ,"A, B, C, D, C, D",
p25_q1,25,The type of bond Involved in the formation of sodium chloride is (Keraln PMT 200,"A, B, C, D, C",
p25_q2,25,Animals spending winter in dormant conditions is referred is under ( J & K CET 2,"A, B, C, D",
p25_q3,25,The type of linkage present in carbohydrates is [CPMT 2005],"A, B, C, D",
p25_q4,25,In ATP high energy bond is present (AMU (Med.) 2001; KCET 2002; CPMT 2005),"A, B, C, D",
p25_q5,25,Anabolism is [BHU 2000],"A, B, C, D",
p25_q6,25,Which of the following is a trace element required only in small amounts by most,"A, B, C, D",
p25_q7,25,The bond formed between the first phosphate group and adenosine in ATP is [KCET ,"A, B, C, D",
p25_q8,25,"Carbohydrates, the most abundant blomolecules on earth, are produced by [CBSE PM","A, B, C, D",
p25_q9,25,Which of the following chemical characteristics is not common to all living bein,"A, B, C, D",
p25_q10,25,Some plants having pleasant odour and attractive colours for [HPMT 2000],"A, B, C, D",
p25_q11,25,Metabolism comprises [NCERT Pg. No.4],"A, B, C, D",
p25_q12,25,Biological organisation starts with [CBSE PMT 2007] [NCERT Pg. No.5],"A, B, C, D",
p25_q13,25,The total heat content of a system is [KCET 2002],"A, B, C, D",
p25_q14,25,Which of the following is the main adaptation for a plant to survive in xerophyt,"A, B, C, D",
p26_q1,26,A coconut high in a palm tree has........owing to its location,"A, B, C",
p26_q2,26,Which statement is correct for biomolecules [RPMT 2001],"A, B, C, D",
p26_q3,26,Reproduction of immature or larval stage of animals caused by the acceleration o,"A, B, C, D",
p26_q4,26,Cause of mimicry is [CBSE PMT 2002],"A, B, C, D",
p26_q5,26,The basis of life (secret of life) is [AFMC 2002],"A, B, C, D",
p26_q6,26,Lipids are generally,"A, B, C, D",
p26_q7,26,Glycogen is most structurally similar to,"A, B, C, D",
p26_q8,26,Which of the following is produced only by plants,"A, B, C, D",
p26_q9,26,The living organisms can be unexceptionally distinguished from the non-living th,"A, B, C, D",
p26_q10,26,Which one of the following sequences is true [Pb. PMT 2000; VVMC Safdarjung 2001,"A, B, C, D",
p26_q11,26,The process in which excess energy is lost by light waves is called [JIPMER 2002,"A, B, C, D",
p26_q12,26,"Among the energy values or nutrients, 9.3 calories is that of [JIPMER 2002]","A, B, C, D",
p26_q13,26,The label of a herbarium sheet does not carry information on [NEET (Phase-II) 20,"A, B, C, D",
p26_q14,26,"The branch of Botany concerned with the classification, nomenclature and identif","A, B, C, D",
p27_q1,27,ICBN stands for [NCERT Pg. No.6] [MP PMT 2003; BVP 2004; CBSE PMT 2007],"A, B, C, D",
p27_q2,27,"Who amongst the following is regarded as the ""Father of Taxonomy"" (DPMT 1992; MP","A, B, C, D",
p27_q3,27,"If a botanist has to nomenclate a similar species, he will use (CPMT 1999; JIPME","A, B, C, D",
p27_q4,27,Which of the following taxonomical ranks contain organisms least similar to one ,"A, B, C, D",
p27_q5,27,"In a hierarchical system of plant classification, which one of the following tax","A, B, C, D",
p27_q6,27,Which one of the following is a taxonomical aid for identification of plants and,"A, B, C, D",
p27_q7,27,"When organism is in same class but is not in same family, the taxonomic term is ","A, B, C, D",
p27_q8,27,Which is a taxon [CBSE PMT 1992; Pb. PMT 1998] [NCERT Pg. No.8],"A, B, C, D",
p27_q9,27,"A group of plants with similar traits of any rank is [CBSE PMT 1990, 92, 96, 97;","A, B, C, D",
p27_q10,27,"Animals are classified into hierarchical group, in which one of the following th","A, B, C, D",
p27_q11,27,In Botanical nomenclature of plants [MP PMT 1993] [NCERT Pg. No.7] .,"A, B, C, D",
p27_q12,27,Match the following,"A, 1",
p28_q1,28,A system of classification in which a large number of traits are considered is [,"A, B, C, D",
p28_q2,28,In Bentham and Hooker's classification what was positioned in between dicots and,"A, B, C, D",
p28_q3,28,"Who proposed the Binomial Nomenclature System [RPMT 1992, 98; CBSE PMT 1993, 94;","A, B, C, D",
p28_q4,28,New Systematics introduced by Sir Julian Huxley is also called [Kerala PMT 2008],"A, B, C, D",
p28_q5,28,Binomial nomenclature system of Linnaeus means that every organism has [CBSE PMT,"A, B, C, D",
p28_q6,28,Which of the following is a merit in the Bentham and Hooker's system of classifi,"A, B, C, D",
p28_q7,28,"Linnaeus system of plant classification is [MP PMT 1996, 97; AllMS 1999; Kerala ","A, B, C, D",
p28_q8,28,In plants Latin names are suggested because [NCERT Pg. No.7],"A, B, C, D",
p28_q9,28,Specific epithet is [NCERT Pg. No.6] [Odisha JEE 2012],"A, A, B, C, D",
p29_q1,29,"Identify from the following, the only taxonomic category that has a real existen","A, B, C, D",
p29_q2,29,Five kingdom classification was proposed by [Haryana PMT 1993; AFMC 1994; MP PMT,"A, B, C, D",
p29_q3,29,"In Whittaker's 'Five Kingdom Classification', eukaryotes were assigned to [BHU 1","A, B, C, D",
p29_q4,29,"In five kingdom system, the main basis of classification is [Manipal 2001; CBSE ","A, B, C, D",
p29_q5,29,"Brinjal, potato, tomato, onion, ginger belongs to [NCERT P.No. 9 ] [Odisha JEE 2","A, B, C, D",
p29_q6,29,Two kingdoms constantly figured in all biological classifications are [NCERT Pg.,"A, B, C, D",
p29_q7,29,Which of the following is grouped under phanerogams [CBSE PMT 2000],"A, B, C, D",
p29_q8,29,Single-celled eukaryotes are included in [NCERT Pg. No.20] [DUMET 2009; CBSE PMT,"A, B, C, D",
p29_q9,29,No. of plants species reported in India are [DPMT 2003],"A, B, C, D",
p29_q10,29,Genus is a group of similar and related [Pb. PMT 2000] [NCERT Pg. No.9],"A, B, C, D",
p29_q11,29,Which of the following is excluded in Whittaker's five kingdom system of classif,"A, B, C, D",
p29_q12,29,Systema Naturae is concerned with [MP PMT 1998] [NCERT Pg. No.8],"A, B, C, D",
p29_q13,29,Which of the following are correctly matched with respect to their taxonomic cla,"A, B, C, D, A, B, C, D",
p30_q1,30,The suffix 'idae' refers to [NCERT Pg. No.11],"A, B, C, D",
p30_q2,30,Read the statements given below and identify the incorrect statement [NCERT Pg. ,"A, B, C, D",
p30_q3,30,The term 'New systematics' was introduced in 1940 by[AFMC 1993; AMU (Med.) 1999;,"A, B, C, D",
p30_q4,30,Taxonomic hierarchy refers to [DUMET 2009] [NCERT Pg. No.8],"A, B, C, D",
p30_q5,30,The third name of the trinomial nomenclature is of [NCERT; JIPMER 1993; APMEE 20,"A, B, C, D",
p30_q6,30,"In which book has ""binomial nomenclature"" been used for the first time [NCERT Pg","A, B, C, D",
p30_q7,30,"Who developed the ""key"" for identification of animals [MP PMT 1999]","A, B, C, D",
p30_q8,30,What is the name of the book written by Aristotle [MP PMT 1999; Pb PMT 1999],"A, B, C, D",
p30_q9,30,The replacement of two kingdoms grouping by five kingdom classification was prop,"A, B, C, D",
p30_q10,30,Engler and Prantl published a phylogenetic system in monograph [Kerala CET 2005],"A, B, C, D",
p30_q11,30,"In the flue-kingdom classification, Chlamydomonas and Chlorella have been Includ","A, B, C, D",
p30_q12,30,Which structure is present in both prokaryotic and eukaryotic plant cells [NCERT,"A, B, C, D",
p30_q13,30,"Oryza sativa is the binomial name of the rice plant, the sativa stands for [NCER","A, B, C, D",
p30_q14,30,Which of the following is considered as neither prokaryotes nor eukaryotes [NCER,"A, C, D, A, B, C, D",
p31_q1,31,Consider the following statements with respect to characteristic features of the,"A, B, C, D, A, B, C, D",
p31_q2,31,Cohort is a group correlated with [MHCET 2004],"A, B, C, D",
p31_q3,31,International applicable to,"A, B, C, D",
p31_q4,31,"The term ""phylum"" in animal classification was coined by [CBSE PMT 1992; MP PMT ","A, B, C, D",
p31_q5,31,Family is placed between [Odisha JEE 2011] [NCERT Pg. No.10],"A, B, C, D",
p31_q6,31,The common characteristics between tomato and potato will be maximum at the leve,"A, B, C, D",
p31_q7,31,Five kingdom system of classification suggested by R.H. Whittaker is not based o,"A, B, C",
p31_q8,31,Cytotaxonomy is connected with [NCERT Pg. No.30],"A, B, C, D",
p31_q9,31,'Taxa' differs from 'taxon' due to [DUMET 2010] [NCERT Pg. No.8],"A, B, C, D",
p31_q10,31,"The term 'biosystematics' was coined by [J & K CET 2010; MP PMT 2010, 12]","A, B, C, D",
p31_q11,31,Which of the following statements regarding universal rules of nomenclature is w,"A, A, B, C, D",
p32_q1,32,Species is [NCERT Pg. No.9] [CBSE PMT 1994],"A, B, C, D",
p32_q2,32,Two plants are taxonomically related if [NCERT],"A, B, C, D",
p32_q3,32,"A group of related genera, with still less number of similarities as compared to","A, B, C, D",
p32_q4,32,Match the following and choose the correct combination from the options given Co,,
p32_q5,32,1. Primata B. Mango,,
p32_q6,32,2. Diptera C. Housefly,,
p32_q7,32,3. Sapindales D. Man,,
p32_q8,32,4. Poales [NCERT Pg. No.11] [Kerala PMT 2010],"A, B, C, D",
p32_q9,32,The term species was coined by [BVP 2002; KCET 2004],"A, B, C, D",
p32_q10,32,Plant classification proposed by Carolus Linnaeus was artificial because it was ,"A, B, C, D",
p32_q11,32,Classification of organisms based on evolutionary as well as genetic relationshi,"A, B, D",
p32_q12,32,Match the following and select the correct combination from the options given be,"A, B, C, D",
p33_q1,33,First act in taxonomy is [NCERT Pg. No.8] [Wardha 2002],"A, B, C, D",
p33_q2,33,Taxonomy based on determination of genetic relationships is [NCERT Pg. No.8] [JI,"A, B, C, D",
p33_q3,33,"Branch connected with nomenclature, identification and classification is [NCERT ","A, B, C, D",
p33_q4,33,Sequence of taxonomic categories is [NCERT Pg. No.8] [DPMT 1992; CBSE PMT 1992; ,"A, B, C, D",
p33_q5,33,"Phylogenetic system of classification is based on [CBSE PMT 1994, 2006, 09; Pb. ","A, B, C, D",
p33_q6,33,An attribute found in plants but not animals is,"A, B, C, D",
p33_q7,33,"Systema Naturae was written by [CPMT 1991, 92, 93; Kerala PMT 2010; Odisha JEE 2","A, B, C, D",
